INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\misc.xml, Name=misc.xml, size=263, date=2017-11-23 14:21:04
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\modules.xml, Name=modules.xml, size=270, date=2017-11-23 14:20:48
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\preferred-vcs.xml, Name=preferred-vcs.xml, size=176, date=2017-11-30 13:38:15
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\vcs.xml, Name=vcs.xml, size=180, date=2017-11-23 14:24:13
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\workspace.xml, Name=workspace.xml, size=23342, date=2017-11-30 14:07:53
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\dictionaries, Name=dictionaries, size=0, date=2017-11-23 14:55:51
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.idea\dictionaries\AdrienMartinez.xml, Name=AdrienMartinez.xml, size=228, date=2017-11-23 14:55:51
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\ftp, Name=ftp, size=0, date=2017-11-30 13:50:42
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\ftp\ftpserver.py, Name=ftpserver.py, size=256, date=2017-11-23 16:41:13
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\ftp\__init__.py, Name=__init__.py, size=91, date=2017-11-23 16:38:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tests, Name=tests, size=0, date=2017-11-30 13:57:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tests\first_file.txt, Name=first_file.txt, size=14, date=2017-11-30 13:57:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp, Name=tmp, size=0, date=2017-11-30 14:05:08
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\main.py, Name=main.py, size=859, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\utils, Name=utils, size=0, date=2017-11-30 14:02:11
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\utils\arguments.py, Name=arguments.py, size=2287, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\utils\__init__.py, Name=__init__.py, size=91, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\utils\__pycache__, Name=__pycache__, size=0, date=2017-11-30 14:02:11
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\utils\__pycache__\arguments.cpython-36.pyc, Name=arguments.cpython-36.pyc, size=2481, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\tmp\utils\__pycache__\__init__.cpython-36.pyc, Name=__init__.cpython-36.pyc, size=331, date=2017-11-30 14:00:33
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\utils, Name=utils, size=0, date=2017-11-30 14:03:50
